tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,n_attempts,learning_curve_mean,learning_curve_stderr
0.2,0.2,bt_laplace_bald_k,0.8897337313852871,0.018723034439668055,28,32,0,5,60,0,65,"0.7925,0.6903,0.7122,0.7357,0.7735,0.7982,0.8245,0.7966,0.8434,0.8593,0.8154,0.8635,0.9106,0.8884,0.9150,0.9034,0.8850,0.8755,0.8696,0.8897","0.0887,0.1193,0.0983,0.0378,0.0368,0.0441,0.0334,0.0702,0.0371,0.0612,0.0623,0.0608,0.0178,0.0190,0.0184,0.0226,0.0285,0.0181,0.0213,0.0187"
0.2,0.2,bt_laplace_bald_random,0.7641325465169655,0.12483921852219156,26,29,0,5,60,5,0,"0.7847,0.7471,0.6947,0.6311,0.6905,0.6571,0.7140,0.7593,0.6409,0.7059,0.7234,0.7823,0.7694,0.7321,0.7784,0.7568,0.7820,0.7865,0.8208,0.7641","0.0162,0.0230,0.0982,0.1331,0.1011,0.1405,0.1029,0.0578,0.1149,0.1152,0.1075,0.1134,0.0952,0.1283,0.1046,0.1195,0.1387,0.1186,0.1063,0.1248"
0.2,0.2,bt_laplace_bald_left,0.7986988034858192,0.0695477371005686,35,24,0,1,60,1,0,"0.7596,0.7253,0.7166,0.8325,0.7999,0.8160,0.7849,0.8000,0.7597,0.7519,0.7934,0.8403,0.8149,0.7592,0.7419,0.7231,0.7728,0.7322,0.7507,0.7987","0.0711,0.0540,0.0537,0.0369,0.0573,0.0394,0.0439,0.0213,0.0548,0.0793,0.0320,0.0434,0.0279,0.0571,0.0524,0.0890,0.0406,0.0836,0.1090,0.0695"
0.2,0.4,multiframe,0.9867112783161017,0.008016280890714652,21,17,21,1,38,0,0,"0.6940,0.7580,0.7589,0.9107,0.9131,0.8926,0.8483,0.9166,0.9436,0.8507,0.9693,0.9885,0.8970,0.9710,0.9317,0.9569,0.9736,0.9649,0.9912,0.9867","0.0958,0.0472,0.0885,0.0282,0.0114,0.0308,0.0453,0.0226,0.0105,0.0612,0.0131,0.0029,0.0041,0.0117,0.0311,0.0121,0.0065,0.0158,0.0006,0.0080"
0.2,0.4,bt_laplace_bald,0.7153920437584601,0.06813180491563346,28,27,0,5,55,0,0,"0.7464,0.5937,0.6570,0.6755,0.6674,0.8100,0.8016,0.8114,0.8252,0.7799,0.7570,0.7393,0.7091,0.6724,0.6692,0.7045,0.7378,0.6690,0.7720,0.7154","0.0759,0.1456,0.1548,0.1259,0.0636,0.0559,0.0416,0.0500,0.0220,0.0295,0.0406,0.0263,0.0587,0.0735,0.0933,0.0735,0.0599,0.0788,0.0309,0.0681"
0.2,0.4,bt_laplace_bald_k,0.867088516966196,0.02743073658738788,28,32,0,7,60,0,67,"0.7422,0.6219,0.7377,0.8238,0.7964,0.7661,0.8301,0.7626,0.7205,0.6968,0.6788,0.7403,0.7366,0.7684,0.7519,0.7547,0.7355,0.7730,0.8059,0.8671","0.0614,0.0915,0.0972,0.0779,0.0480,0.0291,0.0303,0.0616,0.0210,0.0546,0.0506,0.0539,0.0721,0.0612,0.0746,0.0921,0.1007,0.0803,0.0361,0.0274"
0.2,0.4,bt_laplace_bald_random,0.6238940439287536,0.07505652471213299,21,33,0,6,60,6,0,"0.7653,0.7617,0.7537,0.6608,0.6730,0.6174,0.6476,0.5984,0.5971,0.6211,0.6441,0.6483,0.7097,0.6354,0.6140,0.5571,0.6605,0.6091,0.6838,0.6239","0.0098,0.0299,0.1189,0.1484,0.0927,0.1318,0.0668,0.0501,0.1068,0.1069,0.0791,0.0842,0.0574,0.0576,0.0662,0.0496,0.0871,0.0494,0.0662,0.0751"
0.2,0.4,bt_laplace_bald_left,0.7633609587460256,0.04874650589178604,32,22,0,6,60,6,0,"0.7574,0.7351,0.7271,0.7420,0.7789,0.7629,0.7250,0.7720,0.7177,0.7112,0.7578,0.7794,0.7654,0.7242,0.7182,0.6734,0.7148,0.7057,0.7244,0.7634","0.0695,0.0613,0.0612,0.0371,0.0406,0.0162,0.0153,0.0102,0.0378,0.0656,0.0252,0.0461,0.0222,0.0490,0.0422,0.0725,0.0221,0.0679,0.0952,0.0487"
0.2,0.6,multiframe,0.9884697308816367,0.0053797785367306235,15,17,23,5,32,0,0,"0.8610,0.8169,0.8638,0.9164,0.8690,0.8144,0.8392,0.8860,0.8932,0.9406,0.9135,0.9759,0.9403,0.9876,0.9910,0.9818,0.9173,0.9765,0.9963,0.9885","0.0214,0.0654,0.0354,0.0299,0.0369,0.0564,0.0613,0.0559,0.0482,0.0309,0.0580,0.0090,0.0314,0.0038,0.0020,0.0072,0.0519,0.0168,0.0019,0.0054"
0.2,0.6,bt_laplace_bald,0.7827933759948787,0.015225223118563808,30,23,0,7,53,0,0,"0.6951,0.6427,0.6437,0.7075,0.6839,0.7457,0.7157,0.6544,0.7056,0.6925,0.6757,0.6520,0.6624,0.7245,0.6896,0.7124,0.6856,0.6671,0.7601,0.7828","0.0627,0.1494,0.1549,0.1347,0.0713,0.0477,0.0517,0.0254,0.0427,0.0448,0.0461,0.0416,0.0550,0.0650,0.0864,0.0520,0.0538,0.0673,0.0055,0.0152"
