tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,learning_curve_mean,learning_curve_stderr
0.2,0.4,bt_laplace_bald_random,0.8006792572055298,0.10122733237016772,15,19,1,5,40,6,"0.5769,0.5871,0.5955,0.5245,0.6007,0.5724,0.5615,0.6362,0.6507,0.7366,0.7550,0.7736,0.7696,0.8711,0.8866,0.9034,0.8436,0.8411,0.8200,0.8007","0.2155,0.1623,0.1835,0.1437,0.1909,0.1674,0.1642,0.0487,0.0462,0.0354,0.0003,0.0224,0.0656,0.0067,0.0225,0.0201,0.0481,0.0814,0.1014,0.1012"
0.2,0.4,bt_laplace_bald_left,0.5073326890867871,0.09354831563360896,17,13,8,2,40,10,"0.4884,0.5316,0.4536,0.4694,0.4291,0.4240,0.4432,0.4670,0.4243,0.5337,0.4307,0.4346,0.4615,0.4491,0.5025,0.4621,0.5487,0.4838,0.4308,0.5073","0.1235,0.0665,0.0155,0.1311,0.1480,0.1136,0.1116,0.1352,0.1544,0.0647,0.1417,0.1388,0.1384,0.1388,0.1231,0.1060,0.0192,0.0803,0.1151,0.0935"
0.2,0.6,multiframe,0.9986831031120613,0.00017990172298607826,9,7,23,1,16,0,"0.4768,0.6144,0.7398,0.9584,0.9303,0.9420,0.9588,0.9863,0.9204,0.7352,0.9970,0.8698,0.7613,0.9495,0.9140,0.9955,0.9964,0.9930,0.9966,0.9987","0.1333,0.0279,0.1421,0.0025,0.0052,0.0206,0.0095,0.0013,0.0517,0.1838,0.0017,0.0884,0.1641,0.0262,0.0486,0.0001,0.0008,0.0041,0.0013,0.0002"
0.2,0.6,bt_laplace_bald,0.7605948729057704,0.07998673366036904,18,15,2,5,33,0,"0.6611,0.6736,0.6977,0.6725,0.7319,0.6672,0.6960,0.6698,0.6640,0.7210,0.6776,0.6636,0.5440,0.6553,0.6751,0.7294,0.7153,0.7229,0.7250,0.7606","0.1298,0.0179,0.0270,0.0868,0.0677,0.0643,0.1448,0.1171,0.1065,0.0914,0.0027,0.0159,0.0169,0.0202,0.0314,0.1159,0.0327,0.0646,0.0937,0.0800"
0.2,0.6,bt_laplace_bald_k,0.6560899511160321,0.020219743297782002,21,19,3,13,40,0,"0.6670,0.7382,0.7706,0.7910,0.8102,0.8673,0.9241,0.9419,0.9246,0.8819,0.6823,0.6542,0.5755,0.5096,0.4607,0.6260,0.6119,0.6461,0.6547,0.6561","0.1508,0.1477,0.1277,0.1197,0.1151,0.0465,0.0112,0.0145,0.0050,0.0003,0.0151,0.0772,0.1341,0.0964,0.1391,0.1341,0.0955,0.0717,0.0085,0.0202"
0.2,0.6,bt_laplace_bald_random,0.64635663055799,0.08760137866087861,15,18,0,7,40,7,"0.6422,0.4820,0.6394,0.5212,0.6093,0.6010,0.6295,0.7373,0.6179,0.5787,0.7246,0.7101,0.7027,0.7282,0.6827,0.7793,0.7830,0.7361,0.6815,0.6464","0.1517,0.1715,0.1774,0.0962,0.1190,0.0445,0.0137,0.0478,0.0454,0.0409,0.0639,0.0895,0.1162,0.1371,0.1050,0.0995,0.1110,0.1022,0.1014,0.0876"
0.2,0.6,bt_laplace_bald_left,0.814518774946767,0.10795638640468011,20,12,3,5,40,8,"0.5789,0.6461,0.6113,0.6293,0.5830,0.6428,0.6528,0.6223,0.6256,0.6152,0.5992,0.7352,0.6275,0.7659,0.8235,0.8814,0.8850,0.8131,0.7584,0.8145","0.1241,0.1915,0.2375,0.2436,0.2138,0.2293,0.2126,0.2377,0.2301,0.2493,0.2475,0.1723,0.2319,0.1420,0.0940,0.0594,0.0558,0.1108,0.1459,0.1080"
0.2,0.8,multiframe,0.9959144090514588,0.0012231036442129724,8,6,24,2,14,0,"0.5940,0.7215,0.7503,0.6648,0.7608,0.8614,0.9576,0.9906,0.9653,0.9839,0.9746,0.9955,0.9844,0.9880,0.9725,0.9602,0.8408,0.9811,0.9951,0.9959","0.1022,0.1107,0.1651,0.1512,0.1631,0.0868,0.0041,0.0010,0.0081,0.0051,0.0078,0.0010,0.0033,0.0053,0.0120,0.0235,0.0984,0.0087,0.0002,0.0012"
0.2,0.8,bt_laplace_bald,0.8143359741913152,0.021870776962206233,18,12,4,6,30,0,"0.5278,0.5261,0.5789,0.4767,0.4869,0.4714,0.4736,0.4951,0.3815,0.3758,0.3833,0.5351,0.6729,0.6942,0.8142,0.8897,0.9094,0.8355,0.8033,0.8143","0.0418,0.0261,0.0899,0.0047,0.0720,0.0025,0.0052,0.0646,0.0198,0.0343,0.0171,0.0516,0.0152,0.0112,0.0333,0.0263,0.0108,0.0598,0.0388,0.0219"
0.2,0.8,bt_laplace_bald_k,0.9324189412285762,0.013088451588765653,27,13,1,15,40,0,"0.6832,0.6095,0.6206,0.6036,0.6913,0.7009,0.7184,0.7928,0.9061,0.9264,0.9054,0.9111,0.9500,0.9378,0.9239,0.9148,0.9355,0.8663,0.9246,0.9324","0.1329,0.0995,0.0664,0.0682,0.0141,0.0348,0.0752,0.0229,0.0125,0.0074,0.0179,0.0061,0.0015,0.0049,0.0184,0.0170,0.0025,0.0451,0.0195,0.0131"
