tau,tau_prime,method,trial,attempt,cos_sim
0.0,0.0,bt_map_random,1,9,0.35592106118838474
0.0,0.0,bt_map_random,1,10,0.4540950313460158
0.0,0.0,bt_map_random,1,11,0.496984072599557
0.0,0.0,bt_map_random,1,12,0.540830732951167
0.0,0.0,bt_map_random,1,13,0.5446227888916647
0.0,0.0,bt_map_random,1,14,0.5435307562530527
0.0,0.0,bt_map_random,1,15,0.5167983154571875
0.0,0.0,bt_map_random,1,16,0.5511467663000814
0.0,0.0,bt_map_random,1,17,0.5525527277884137
0.0,0.0,bt_map_random,1,18,0.5402094332941693
0.0,0.0,bt_map_random,1,19,0.5366106945336466
0.0,0.0,bt_map_random,1,20,0.5011162430265275
0.0,0.0,bt_map_random,2,1,0.6421709462079083
0.0,0.0,bt_map_random,2,2,0.8621180819487376
0.0,0.0,bt_map_random,2,3,0.803619430904683
0.0,0.0,bt_map_random,2,4,0.6639549111493779
0.0,0.0,bt_map_random,2,5,0.8462421964371943
0.0,0.0,bt_map_random,2,6,0.8330161799688227
0.0,0.0,bt_map_random,2,7,0.8940889087240362
0.0,0.0,bt_map_random,2,8,0.98881394110294
0.0,0.0,bt_map_random,2,9,0.970004642378136
0.0,0.0,bt_map_random,2,10,0.9676304145607173
0.0,0.0,bt_map_random,2,11,0.8719534550744018
0.0,0.0,bt_map_random,2,12,0.9103015088537846
0.0,0.0,bt_map_random,2,13,0.9339291342738144
0.0,0.0,bt_map_random,2,14,0.9049796207571466
0.0,0.0,bt_map_random,2,15,0.908946072266559
0.0,0.0,bt_map_random,2,16,0.9379608460505948
0.0,0.0,bt_map_random,2,17,0.8973269364803473
0.0,0.0,bt_map_random,2,18,0.9111501125171791
0.0,0.0,bt_map_random,2,19,0.9074239573872835
0.0,0.0,bt_map_random,2,20,0.8958500294760531
0.0,0.0,bt_map_left,0,1,0.5726751751859955
0.0,0.0,bt_map_left,0,2,0.24260348609330887
0.0,0.0,bt_map_left,0,3,0.42089158746322936
0.0,0.0,bt_map_left,0,4,0.2917307830540159
0.0,0.0,bt_map_left,0,5,0.46917913852214904
0.0,0.0,bt_map_left,0,6,0.36050833066674765
0.0,0.0,bt_map_left,0,7,0.365379885141632
0.0,0.0,bt_map_left,0,8,0.3810488748186622
0.0,0.0,bt_map_left,0,9,0.4269964650890185
0.0,0.0,bt_map_left,0,10,0.43790401896631026
0.0,0.0,bt_map_left,0,11,0.40857168899470786
0.0,0.0,bt_map_left,0,12,0.39030225329062235
0.0,0.0,bt_map_left,0,13,0.4548817216987868
0.0,0.0,bt_map_left,0,14,0.3951679996202577
0.0,0.0,bt_map_left,0,15,0.45861659590091575
0.0,0.0,bt_map_left,0,16,0.5592199192111732
0.0,0.0,bt_map_left,0,17,0.5936296258135585
0.0,0.0,bt_map_left,0,18,0.6188238360737306
0.0,0.0,bt_map_left,0,19,0.6158039064940187
0.0,0.0,bt_map_left,0,20,0.5715399358710201
0.0,0.0,bt_map_left,1,1,0.5082419166087646
0.0,0.0,bt_map_left,1,2,0.7267739469435692
0.0,0.0,bt_map_left,1,3,0.590341099270858
0.0,0.0,bt_map_left,1,4,0.6804542759959021
0.0,0.0,bt_map_left,1,5,0.5852506267648092
0.0,0.0,bt_map_left,1,6,0.40078054686639003
0.0,0.0,bt_map_left,1,7,0.33094817677447447
0.0,0.0,bt_map_left,1,8,0.3186527664100139
0.0,0.0,bt_map_left,1,9,0.3162530800608754
0.0,0.0,bt_map_left,1,10,0.31625308006087516
0.0,0.0,bt_map_left,1,11,0.42854495077436183
0.0,0.0,bt_map_left,1,12,0.35346748678247064
0.0,0.0,bt_map_left,1,13,0.3162530800608756
0.0,0.0,bt_map_left,1,14,0.3162530800608756
0.0,0.0,bt_map_left,1,15,0.3162530800608756
0.0,0.0,bt_map_left,1,16,0.3162530800608755
0.0,0.0,bt_map_left,1,17,0.31625308006087627
0.0,0.0,bt_map_left,1,18,0.31625308006087516
0.0,0.0,bt_map_left,1,19,0.3162530800608756
0.0,0.0,bt_map_left,1,20,0.3162530800608759
0.0,0.0,bt_map_left,2,1,0.7181486323447384
0.0,0.0,bt_map_left,2,2,0.7589621301320126
0.0,0.0,bt_map_left,2,3,0.7695617044651509
0.0,0.0,bt_map_left,2,4,0.744302312952691
0.0,0.0,bt_map_left,2,5,0.9890411186660735
0.0,0.0,bt_map_left,2,6,0.83617336901856
0.0,0.0,bt_map_left,2,7,0.6772480257860003
0.0,0.0,bt_map_left,2,8,0.7122894659489439
0.0,0.0,bt_map_left,2,9,0.7719219206840918
0.0,0.0,bt_map_left,2,10,0.7710705054843136
0.0,0.0,bt_map_left,2,11,0.7985602878644911
0.0,0.0,bt_map_left,2,12,0.7896574954536937
0.0,0.0,bt_map_left,2,13,0.8924671706798888
0.0,0.0,bt_map_left,2,14,0.9858962260608193
0.0,0.0,bt_map_left,2,15,0.9896742523798979
0.0,0.0,bt_map_left,2,16,0.9723111445679995
0.0,0.0,bt_map_left,2,17,0.9063613945890173
0.0,0.0,bt_map_left,2,18,0.9343790804730276
0.0,0.0,bt_map_left,2,19,0.9268712347458599
0.0,0.0,bt_map_left,2,20,0.9250523759712184
0.0,0.2,multiframe_bald,0,1,0.8033799831350755
0.0,0.2,multiframe_bald,0,2,0.75010912370448
0.0,0.2,multiframe_bald,0,3,0.8424365263947738
0.0,0.2,multiframe_bald,0,4,0.9124952413904207
0.0,0.2,multiframe_bald,0,5,0.8969879807278907
0.0,0.2,multiframe_bald,0,6,0.7534012619276728
0.0,0.2,multiframe_bald,0,7,0.7663927760230498
0.0,0.2,multiframe_bald,0,8,0.9017901339683707
0.0,0.2,multiframe_bald,0,9,0.8987285956341706
0.0,0.2,multiframe_bald,0,10,0.7858183987939957
0.0,0.2,multiframe_bald,0,11,0.8296032175285418
0.0,0.2,multiframe_bald,0,12,0.8857146975649874
0.0,0.2,multiframe_bald,0,13,0.9194657933186333
0.0,0.2,multiframe_bald,0,14,0.7917529733987572
0.0,0.2,multiframe_bald,0,15,0.8340281764613159
0.0,0.2,multiframe_bald,0,16,0.8324667649662245
0.0,0.2,multiframe_bald,0,17,0.7509327723779441
0.0,0.2,multiframe_bald,0,18,0.7787796418530001
0.0,0.2,multiframe_bald,0,19,0.8339525744493081
0.0,0.2,multiframe_bald,0,20,0.8888988381367919
0.0,0.2,multiframe_bald,1,1,0.8281142539670464
0.0,0.2,multiframe_bald,1,2,0.8926473731265059
0.0,0.2,multiframe_bald,1,3,0.8981931357660377
0.0,0.2,multiframe_bald,1,4,0.8853142873133212
0.0,0.2,multiframe_bald,1,5,0.854793792675147
0.0,0.2,multiframe_bald,1,6,0.7727304191704157
0.0,0.2,multiframe_bald,1,7,0.7551624697264276
0.0,0.2,multiframe_bald,1,8,0.9109990230148111
0.0,0.2,multiframe_bald,1,9,0.7564178613359724
0.0,0.2,multiframe_bald,1,10,0.7830657540495587
0.0,0.2,multiframe_bald,1,11,0.8213870133062957
0.0,0.2,multiframe_bald,1,12,0.6407623037769009
0.0,0.2,multiframe_bald,1,13,0.8576530792216351
0.0,0.2,multiframe_bald,1,14,0.7482516035237393
0.0,0.2,multiframe_bald,1,15,0.7436780341126334
0.0,0.2,multiframe_bald,1,16,0.8514698131489371
0.0,0.2,multiframe_bald,1,17,0.5915151842553603
0.0,0.2,multiframe_bald,1,18,0.8574126540514183
0.0,0.2,multiframe_bald,1,19,0.6432466322575052
0.0,0.2,multiframe_bald,1,20,0.7717677907302007
0.0,0.2,multiframe_bald,2,1,0.7947969487681724
0.0,0.2,multiframe_bald,2,2,0.8759557371900365
0.0,0.2,multiframe_bald,2,3,0.7685654411469933
0.0,0.2,multiframe_bald,2,4,0.8579127073984084
0.0,0.2,multiframe_bald,2,5,0.792771929144906
0.0,0.2,multiframe_bald,2,6,0.8556359502543119
0.0,0.2,multiframe_bald,2,7,0.7890370456223993
0.0,0.2,multiframe_bald,2,8,0.7214262682066119
0.0,0.2,multiframe_bald,2,9,0.8490754178260034
0.0,0.2,multiframe_bald,2,10,0.8086633681343768
0.0,0.2,multiframe_bald,2,11,0.7577137270868995
0.0,0.2,multiframe_bald,2,12,0.7420642556786965
0.0,0.2,multiframe_bald,2,13,0.8764228541591852
0.0,0.2,multiframe_bald,2,14,0.8978956668893845
0.0,0.2,multiframe_bald,2,15,0.6710025469649225
0.0,0.2,multiframe_bald,2,16,0.8161420903773681
0.0,0.2,multiframe_bald,2,17,0.701658527292122
0.0,0.2,multiframe_bald,2,18,0.8316082242110082
0.0,0.2,multiframe_bald,2,19,0.7833530837573598
0.0,0.2,multiframe_bald,2,20,0.8618819483680624
0.0,0.2,bt_map,0,1,0.8752078618301341
0.0,0.2,bt_map,0,2,0.6991017973912945
0.0,0.2,bt_map,0,3,0.5112999892611823
0.0,0.2,bt_map,0,4,0.5112999892611823
0.0,0.2,bt_map,0,5,0.3891804722973921
0.0,0.2,bt_map,0,6,0.4662931324945572
0.0,0.2,bt_map,0,7,0.610207166762326
0.0,0.2,bt_map,0,8,0.5427637652347093
0.0,0.2,bt_map,0,9,0.6319166021336655
0.0,0.2,bt_map,0,10,0.630105206539375
0.0,0.2,bt_map,0,11,0.657717930505946
0.0,0.2,bt_map,0,12,0.6639521818643566
0.0,0.2,bt_map,0,13,0.6720105240479438
0.0,0.2,bt_map,0,14,0.6906261469898407
0.0,0.2,bt_map,0,15,0.6999362724444873
0.0,0.2,bt_map,0,16,0.7455466979944118
0.0,0.2,bt_map,0,17,0.6879664532051809
0.0,0.2,bt_map,0,18,0.644422059482226
0.0,0.2,bt_map,0,19,0.6444220709148012
0.0,0.2,bt_map,0,20,0.7869250266477368
0.0,0.2,bt_map,1,1,0.5185148413621791
0.0,0.2,bt_map,1,2,0.3060052585150017
0.0,0.2,bt_map,1,3,0.1084843364095625
0.0,0.2,bt_map,1,4,0.10849008043615951
0.0,0.2,bt_map,1,5,0.06943177570767191
0.0,0.2,bt_map,1,6,0.12361114702389618
0.0,0.2,bt_map,1,7,0.35640652848162774
0.0,0.2,bt_map,1,8,0.33619432974790314
0.0,0.2,bt_map,1,9,0.17954319931113333
0.0,0.2,bt_map,1,10,0.16135945667075924
0.0,0.2,bt_map,1,11,0.05937205633334407
0.0,0.2,bt_map,1,12,0.009266401148897044
0.0,0.2,bt_map,1,13,0.1006806768803307
