tau,tau_prime,method,final_cos_mean,final_cos_stderr,n_decisive
0.6,0.4,bt_map_random,0.2386788312729633,0.08543290505255723,60
0.6,0.4,bt_map_left,0.6689029848585495,0.08104297468676075,60
0.6,0.6,multiframe_map,0.824339198119444,0.09238339604974181,21
0.6,0.6,bt_map,0.7093905339197808,0.1315174417122437,19
0.6,0.6,bt_map_k,0.6432272358922309,0.240085970680392,60
0.6,0.6,bt_map_random,0.3169722878092389,0.04079732038112428,60
0.6,0.6,bt_map_left,0.6373637422570108,0.07992059371841877,60
0.6,0.8,multiframe_map,0.9189954647438029,0.028485383848164132,20
0.6,0.8,bt_map,0.7739448752245813,0.13960371113198375,18
0.6,0.8,bt_map_k,0.6390316619874187,0.2585477727801635,60
0.6,0.8,bt_map_random,0.39781289027429345,0.03983423905801288,60
0.6,0.8,bt_map_left,0.6023984790184275,0.054865296346102536,60
0.8,0.0,multiframe_map,0.5753056935679788,0.07339366503343335,0
0.8,0.0,bt_map,0.8608277919798072,0.04383565895870609,8
0.8,0.0,bt_map_k,0.5066566735511532,0.1373956473303047,47
0.8,0.0,bt_map_random,0.1091705512883262,0.0522622775030503,60
0.8,0.0,bt_map_left,0.664022703720325,0.1696387634811836,60
0.8,0.2,multiframe_map,0.5753056935679788,0.07339366503343335,0
0.8,0.2,bt_map,0.8608277919798072,0.04383565895870609,8
0.8,0.2,bt_map_k,0.5066566735511532,0.1373956473303047,47
0.8,0.2,bt_map_random,0.11627632194131415,0.049133317747281496,60
0.8,0.2,bt_map_left,0.664022703720325,0.1696387634811836,60
0.8,0.4,multiframe_map,0.5753056935679788,0.07339366503343335,0
0.8,0.4,bt_map,0.8608277919798072,0.04383565895870609,8
0.8,0.4,bt_map_k,0.5066566735511532,0.1373956473303047,47
0.8,0.4,bt_map_random,0.19582186424232687,0.058522892002687926,60
0.8,0.4,bt_map_left,0.664022703720325,0.1696387634811836,60
0.8,0.6,multiframe_map,0.5753056935679788,0.07339366503343335,0
0.8,0.6,bt_map,0.8608277919798072,0.04383565895870609,8
0.8,0.6,bt_map_k,0.5066566735511532,0.1373956473303047,47
0.8,0.6,bt_map_random,0.3063283513392334,0.03599140481205988,60
0.8,0.6,bt_map_left,0.6243329124976064,0.1494305441900227,60
0.8,0.8,multiframe_map,0.5753056935679788,0.07339366503343335,0
0.8,0.8,bt_map,0.8608277919798072,0.04383565895870609,8
0.8,0.8,bt_map_k,0.31867218964004657,0.18253519180715239,45
0.8,0.8,bt_map_random,0.3063283513392334,0.03599140481205988,60
0.8,0.8,bt_map_left,0.6243329124976064,0.1494305441900227,60
