seed,k,method,logloss,acc,n_train,n_left,n_right,n_indiff,n_incomp
8,200,A,0.4861997023199252,0.7656,200,95,105,0,0
8,200,B1,0.6436976967077844,0.6668,200,95,105,0,0
8,200,B2,0.4862153479151413,0.7658,200,95,105,0,0
8,200,C,0.631806959811945,0.739,200,88,112,0,0
9,200,A,0.4705978573705681,0.7716,200,106,94,0,0
9,200,B1,0.6361469236732884,0.7022,200,106,94,0,0
9,200,B2,0.47058547024025194,0.7716,200,106,94,0,0
9,200,C,0.6336198909145017,0.6722,200,103,97,0,0
10,200,A,0.4919429774508528,0.776,200,85,115,0,0
10,200,B1,0.6342916219262801,0.751,200,85,115,0,0
10,200,B2,0.49297621194856683,0.776,200,85,115,0,0
10,200,C,0.6306777567232558,0.7276,200,106,94,0,0
11,200,A,0.4751806299913522,0.7648,200,111,89,0,0
11,200,B1,0.6305328812893906,0.713,200,111,89,0,0
11,200,B2,0.4752634482981277,0.7646,200,111,89,0,0
11,200,C,0.631597617125721,0.7132,200,101,99,0,0
12,200,A,0.46687322463690645,0.7728,200,119,81,0,0
12,200,B1,0.6347556986603946,0.7094,200,119,81,0,0
12,200,B2,0.4669155553400981,0.7728,200,119,81,0,0
12,200,C,0.6311980555783081,0.7464,200,97,103,0,0
13,200,A,0.48211579638991453,0.7606,200,97,103,0,0
13,200,B1,0.6365888600192023,0.6584,200,97,103,0,0
13,200,B2,0.4822990949991268,0.7606,200,97,103,0,0
13,200,C,0.6365737600727979,0.7512,200,93,107,0,0
14,200,A,0.47257476604306675,0.7678,200,101,99,0,0
14,200,B1,0.6357348740631467,0.7298,200,101,99,0,0
14,200,B2,0.4725607060852453,0.768,200,101,99,0,0
14,200,C,0.6306247912288664,0.721,200,105,95,0,0
15,200,A,0.46789745383133885,0.7752,200,102,98,0,0
15,200,B1,0.6327150983522967,0.7082,200,102,98,0,0
15,200,B2,0.46783056592945593,0.7758,200,102,98,0,0
15,200,C,0.630759831940753,0.7206,200,106,94,0,0
16,200,A,0.491546639043852,0.7558,200,101,99,0,0
16,200,B1,0.635725593360185,0.6942,200,101,99,0,0
16,200,B2,0.49161032523910997,0.7556,200,101,99,0,0
16,200,C,0.6312168602202506,0.7354,200,96,104,0,0
17,200,A,0.4709695877274305,0.7726,200,93,107,0,0
17,200,B1,0.6347517737368574,0.6838,200,93,107,0,0
17,200,B2,0.47085354375882155,0.7726,200,93,107,0,0
17,200,C,0.6308463944729151,0.729,200,103,97,0,0
18,200,A,0.469838649967936,0.7706,200,114,86,0,0
18,200,B1,0.6330766330091908,0.6764,200,114,86,0,0
18,200,B2,0.4699682353824599,0.7706,200,114,86,0,0
18,200,C,0.6321610675343557,0.7258,200,94,106,0,0
19,200,A,0.4765988312166273,0.7698,200,111,89,0,0
19,200,B1,0.6364663422805071,0.6858,200,111,89,0,0
19,200,B2,0.47693538033402993,0.7698,200,111,89,0,0
19,200,C,0.6305169559636669,0.7174,200,101,99,0,0
0,500,A,0.47345510534365337,0.7676,500,254,246,0,0
0,500,B1,0.6371311191444169,0.6844,500,254,246,0,0
0,500,B2,0.4736007708952877,0.7676,500,254,246,0,0
0,500,C,0.6304996053446046,0.718,500,244,256,0,0
1,500,A,0.46608033816276384,0.7754,500,268,232,0,0
1,500,B1,0.631068472595279,0.7326,500,268,232,0,0
1,500,B2,0.46599716473037195,0.7754,500,268,232,0,0
1,500,C,0.6305393544167945,0.7208,500,245,255,0,0
2,500,A,0.4707074243623122,0.773,500,235,265,0,0
2,500,B1,0.6305081480881473,0.7154,500,235,265,0,0
2,500,B2,0.4707500488794851,0.773,500,235,265,0,0
2,500,C,0.6312163694055868,0.745,500,255,245,0,0
3,500,A,0.4663570734842775,0.7762,500,250,250,0,0
3,500,B1,0.6316292409766328,0.6952,500,250,250,0,0
3,500,B2,0.4663137381568239,0.7764,500,250,250,0,0
