tau,tau_prime,method,trial,timestep,cos_sim,l1_error,holdout_ll,n_left,n_right,n_indifferent,n_incomparable,n_attempts
0.0,0.0,multiframe,2,20,0.6428640562568442,0.8819110801451802,0.6910433363010392,,,,,
0.0,0.0,multiframe,2,21,0.505635442417395,1.1183345496854318,0.6754295196891421,,,,,
0.0,0.0,multiframe,2,22,0.6685055147378935,0.864109066180031,0.6954635554079448,,,,,
0.0,0.0,multiframe,2,23,0.8556022775373529,0.6264844211549433,0.6871430054796918,,,,,
0.0,0.0,multiframe,2,24,0.6582740152798404,0.8674674282378004,0.6979131561187583,,,,,
0.0,0.0,multiframe,2,25,0.5464714716469027,1.0715226879629673,0.6968938428672372,,,,,
0.0,0.0,multiframe,2,26,0.9656985259244805,0.3916289201226191,0.7166068548664228,,,,,
0.0,0.0,multiframe,2,27,0.5074221084824507,0.9584888708069735,0.6860879701460272,,,,,
0.0,0.0,multiframe,2,28,0.48247161110414083,1.1007667576460562,0.6836056871032484,,,,,
0.0,0.0,multiframe,2,29,0.9303658710972615,0.5097539469065479,0.6977692516423639,,,,,
0.0,0.0,multiframe,2,30,0.47152883202210233,1.109233707114461,0.7044901088339537,,,,,
0.0,0.0,multiframe,2,31,0.5495727515963251,0.936413564109418,0.6840616877511867,,,,,
0.0,0.0,multiframe,2,32,0.516762331237788,1.0983199677776803,0.7148399540884566,,,,,
0.0,0.0,multiframe,2,33,0.7133428744217755,0.8502738502110998,0.6785556188400538,,,,,
0.0,0.0,multiframe,2,34,0.4941365318844834,1.0164104026507839,0.6987156365405314,,,,,
0.0,0.0,multiframe,2,35,0.7683923203610897,0.7629567786119411,0.6918748129308571,,,,,
0.0,0.0,multiframe,2,36,0.7336961037569019,0.7773870996085054,0.6944591525951114,,,,,
0.0,0.0,multiframe,2,37,0.6228007368703602,0.9151577231528457,0.6912745232960953,,,,,
0.0,0.0,multiframe,2,38,0.7181700044465389,0.8110967198535095,0.70898708545716,,,,,
0.0,0.0,multiframe,2,39,0.6404675241823025,0.8574042228267729,0.6959581139163054,,,,,
0.0,0.0,multiframe,2,40,0.46350364039526454,1.0890178914041904,0.7046249492993762,,,,,
0.0,0.0,multiframe,2,41,0.47930648391179387,1.0751488096562118,0.68292372875655,,,,,
0.0,0.0,multiframe,2,42,0.692428010809288,0.8221839540831856,0.7090567108655209,,,,,
0.0,0.0,multiframe,2,43,0.754484433987829,0.7736856091282731,0.6948111064409832,,,,,
0.0,0.0,multiframe,2,44,0.497473557099125,1.164864288105383,0.7150380643559718,,,,,
0.0,0.0,multiframe,2,45,0.6765901061499812,0.8282130760527033,0.7037259752063433,,,,,
0.0,0.0,multiframe,2,46,0.5573254656106084,0.9375174264913845,0.6834040982024113,,,,,
0.0,0.0,multiframe,2,47,0.6102039963668705,0.9338398333999016,0.7169227396292619,,,,,
0.0,0.0,multiframe,2,48,0.6546735924790529,0.8742307229892491,0.6901968180120233,,,,,
0.0,0.0,multiframe,2,49,0.6262482849898616,0.8368948008433534,0.6934001154247325,,,,,
0.0,0.0,multiframe,2,50,0.6330019044941099,0.9075216060939162,0.7031961609049633,,,,,
0.0,0.0,multiframe,2,-1,0.6330019044941099,0.9075216060939162,0.7031961609049633,32.0,18.0,0.0,0.0,50.0
0.0,0.0,multiframe,3,1,0.6655039868231201,0.9817666460113774,0.6861715334370615,,,,,
0.0,0.0,multiframe,3,2,0.664340794936484,1.0050327641342358,0.6709142419952459,,,,,
0.0,0.0,multiframe,3,3,0.6795646798925843,0.948348737981388,0.6658314121128095,,,,,
0.0,0.0,multiframe,3,4,0.7497514132312121,0.8213880943761852,0.6826861503327983,,,,,
0.0,0.0,multiframe,3,5,0.5790593703152063,1.098553840784102,0.6772215444282835,,,,,
0.0,0.0,multiframe,3,6,0.8299453592794253,0.7554684088723861,0.6871867579975758,,,,,
0.0,0.0,multiframe,3,7,0.6333546206304962,1.0277212358015042,0.7009612014751643,,,,,
0.0,0.0,multiframe,3,8,0.8287026115416568,0.7601389521586759,0.6928421203133666,,,,,
0.0,0.0,multiframe,3,9,0.6463963192305986,0.9411416927788303,0.6869937396830343,,,,,
0.0,0.0,multiframe,3,10,0.373101166528537,1.3084431169909927,0.6867620243789488,,,,,
0.0,0.0,multiframe,3,11,0.8151853853947363,0.7597090253105747,0.6687000387863183,,,,,
0.0,0.0,multiframe,3,12,0.8471506585383559,0.7477320414749643,0.6919663377777819,,,,,
0.0,0.0,multiframe,3,13,0.6913685052936471,0.9590225137710013,0.6771573312367846,,,,,
0.0,0.0,multiframe,3,14,0.7285477597614913,0.8797031755950216,0.6835029662468841,,,,,
0.0,0.0,multiframe,3,15,0.7083186068028681,0.8908114782049963,0.6642271535199878,,,,,
0.0,0.0,multiframe,3,16,0.8446406633758254,0.6970567704884938,0.6434859181419115,,,,,
0.0,0.0,multiframe,3,17,0.4476135256930492,1.2592190067270361,0.6859033271367048,,,,,
0.0,0.0,multiframe,3,18,0.5587268248293313,1.1043601765984405,0.6842935861910522,,,,,
0.0,0.0,multiframe,3,19,0.7046538317612786,0.9456101788060294,0.6702553328230978,,,,,
0.0,0.0,multiframe,3,20,0.8600646049535325,0.6509961013716616,0.6855415032187575,,,,,
0.0,0.0,multiframe,3,21,0.6618706952279066,0.9796847608598963,0.6910707163065202,,,,,
0.0,0.0,multiframe,3,22,0.8512672646850993,0.7164814969025205,0.6779816444413939,,,,,
0.0,0.0,multiframe,3,23,0.599291391896615,1.0527417071891318,0.6969810330605591,,,,,
0.0,0.0,multiframe,3,24,0.6086765606547914,0.9935984119902426,0.6654887113449933,,,,,
0.0,0.0,multiframe,3,25,0.6808827448512449,0.81149740758183,0.6686285606566288,,,,,
0.0,0.0,multiframe,3,26,0.7549303997263332,0.8809031403696712,0.6797810240498986,,,,,
0.0,0.0,multiframe,3,27,0.686781474255618,0.9496858999234595,0.6771031023293911,,,,,
0.0,0.0,multiframe,3,28,0.644356016935666,0.8976232566221196,0.6839385251966046,,,,,
0.0,0.0,multiframe,3,29,0.6679177312547907,0.8943950202205496,0.698025848095122,,,,,
0.0,0.0,multiframe,3,30,0.7202467383683475,0.8799918340974926,0.6787036587439682,,,,,
0.0,0.0,multiframe,3,31,0.6345679411431318,1.012344080389456,0.6748127086973946,,,,,
0.0,0.0,multiframe,3,32,0.7056074736816137,0.8655941716541691,0.6632441118842799,,,,,
0.0,0.0,multiframe,3,33,0.675950344555935,0.9369076102024514,0.6782141894608154,,,,,
0.0,0.0,multiframe,3,34,0.5498876666674748,1.08674314158531,0.6737404672298832,,,,,
0.0,0.0,multiframe,3,35,0.6421410213062085,0.905166293668328,0.6746501778076167,,,,,
0.0,0.0,multiframe,3,36,0.5526414535422698,1.0854989734012055,0.6824635642447414,,,,,
0.0,0.0,multiframe,3,37,0.8139458210561034,0.6525762756923759,0.6883789329628643,,,,,
0.0,0.0,multiframe,3,38,0.6768211251190718,0.8933580813075294,0.6922080212018535,,,,,
0.0,0.0,multiframe,3,39,0.704173108247492,0.9167834444501604,0.6610978330984082,,,,,
0.0,0.0,multiframe,3,40,0.7925221802285203,0.7873853527255706,0.6867422806027875,,,,,
0.0,0.0,multiframe,3,41,0.6748033119199038,0.8275867056341503,0.6866715462901127,,,,,
0.0,0.0,multiframe,3,42,0.7799419383950471,0.6981621613457077,0.6831436061434241,,,,,
0.0,0.0,multiframe,3,43,0.6883471305969922,0.8961893399768885,0.6842264527864768,,,,,
0.0,0.0,multiframe,3,44,0.8375149806750523,0.6263883955853594,0.671431963736319,,,,,
0.0,0.0,multiframe,3,45,0.7389890491872784,0.7744285036633419,0.6836522354025131,,,,,
0.0,0.0,multiframe,3,46,0.771357427894311,0.7259740752623758,0.6707890722954271,,,,,
0.0,0.0,multiframe,3,47,0.5776336497403184,1.0615306621040261,0.6701703489563503,,,,,
0.0,0.0,multiframe,3,48,0.8902599455069236,0.6047793939476683,0.6767363550979816,,,,,
0.0,0.0,multiframe,3,49,0.7201338806319959,0.9157353968314809,0.6812833075866057,,,,,
0.0,0.0,multiframe,3,50,0.6977998118017127,0.940263430569288,0.6714198976267868,,,,,
0.0,0.0,multiframe,3,-1,0.6977998118017127,0.940263430569288,0.6714198976267868,28.0,22.0,0.0,0.0,50.0
0.0,0.0,multiframe,4,1,0.5955010265181149,1.0489630924191777,0.703221373127611,,,,,
