personID,food,size_A,access_A,income_A,poverty_A,last_donation_A,total_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,total_donation_B,dist_B,num_Q,AorB
F1,0,0,0,5,1,7,38,2,1,2,3,1,4,30,2,33,B
F1,1,4,2,0,0,4,66,2,0,1,1,4,8,82,0,34,B
F1,1,3,0,0,2,5,61,0,1,2,4,1,12,31,3,35,A
F1,1,1,0,4,0,1,58,0,0,0,4,1,8,82,2,36,A
F1,1,2,2,3,1,8,29,0,4,2,1,4,9,4,3,37,A
F1,1,4,0,0,5,9,90,0,3,1,3,0,1,34,1,38,A
F1,1,0,2,2,0,12,44,3,1,0,5,0,10,63,3,39,A
F1,0,3,1,5,0,7,10,1,1,0,2,2,11,17,1,40,B
F1,0,2,2,4,1,9,68,0,2,0,1,1,7,24,1,41,A
F1,1,0,1,2,3,6,68,0,0,1,2,2,1,21,1,42,A
F1,0,2,1,4,0,4,15,3,0,1,5,1,0,0,3,43,B
F1,1,2,0,4,1,12,66,0,4,1,3,1,5,55,0,44,A
F1,0,2,0,2,3,0,0,1,3,1,5,1,12,69,2,45,A
F2,0,3,2,0,4,7,19,0,4,1,3,1,11,67,1,1,A
F2,1,1,0,5,0,7,45,3,0,1,3,1,4,69,1,2,B
F2,1,1,0,3,1,3,64,1,2,0,4,0,10,2,2,3,A
F2,1,3,1,5,1,12,16,1,1,0,4,1,6,55,1,4,A
F2,1,1,1,4,0,4,76,0,3,1,0,6,10,2,2,5,B
F2,0,2,1,2,3,5,24,1,0,2,1,2,8,90,0,6,A
F2,0,4,2,3,1,8,2,0,1,0,5,0,9,63,2,7,A
F2,0,4,0,0,0,3,29,3,2,2,3,1,9,21,1,8,B
F2,1,1,2,1,1,5,15,2,1,1,3,1,6,9,3,9,A
F2,1,3,0,1,2,6,2,2,4,2,5,0,1,83,2,10,A
F2,1,1,1,5,1,3,66,0,1,2,4,1,1,52,3,11,A
F2,1,0,1,3,0,5,87,2,1,2,0,1,11,66,2,12,B
F2,1,4,2,3,0,1,7,1,0,2,0,5,1,53,1,13,A
F2,1,1,0,1,0,8,90,2,4,1,2,3,10,52,3,14,A
F2,1,0,2,3,0,6,77,2,3,2,5,1,8,9,3,15,B
F2,0,3,1,5,0,8,6,0,1,2,5,1,2,78,1,16,A
F2,0,3,0,1,0,4,44,0,0,0,4,0,2,65,2,17,A
F2,1,4,1,1,4,7,72,2,0,0,2,2,6,58,0,18,A
F2,1,0,2,5,0,4,18,3,3,2,1,3,1,17,2,19,B
F2,1,0,0,4,0,11,67,3,1,2,1,4,1,86,3,20,B
F2,0,2,0,0,4,0,0,1,0,2,3,0,11,69,0,21,A
F2,0,0,1,1,1,12,90,1,2,2,1,4,9,46,2,22,B
F2,1,1,1,2,3,8,43,1,0,1,2,3,3,49,0,23,A
F2,0,1,1,1,3,0,0,2,2,0,5,0,11,73,0,24,B
F2,1,3,0,5,0,1,84,1,3,0,3,1,2,68,1,25,B
F2,0,0,2,2,2,11,36,2,2,0,1,1,4,89,0,26,B
F2,0,2,0,5,0,1,30,0,1,2,2,2,2,45,2,27,A
F2,1,3,0,2,2,12,36,2,3,2,4,1,9,53,0,28,B
F2,0,4,2,0,4,4,35,0,2,1,4,0,1,72,2,29,A
F2,1,1,1,2,1,4,66,2,3,1,2,0,6,47,0,30,B
F2,1,3,0,2,0,9,22,0,4,1,3,1,3,50,2,31,A
F2,1,3,0,0,3,2,11,0,4,0,1,1,3,78,1,32,A
F2,0,1,2,0,2,8,51,1,1,1,0,5,6,33,2,33,A
F2,1,2,2,4,0,3,77,0,2,1,4,1,4,26,3,34,A
