personID,num_Q,AorB,food,size_A,access_A,income_A,poverty_A,last_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,dist_B,r,kappa,sy,sx,bt_pred
D5,11,B,0,0,0,3,1,1,1,4,0,0,2,0,3,0.5436323445544449,-0.33256636261376804,0.10553299097033841,0.43809935358410645,B
D5,12,A,0,3,1,0,5,3,0,0,1,5,1,8,2,0.8554433942834659,0.8554433942834659,0.8554433942834659,0.0,A
D5,13,A,1,2,1,1,4,9,0,2,1,5,1,9,2,0.6606457846502586,0.6606457846502586,0.6606457846502586,0.0,A
D5,14,B,1,2,0,3,0,9,0,1,2,2,0,11,0,0.1454300678447742,-0.10762258233357397,0.01890374275560011,0.12652632508917408,B
D5,15,A,0,0,1,1,3,2,1,3,2,4,0,4,3,0.5717275885058519,0.5156144299383498,0.5436710092221009,0.02805657928375105,A
D5,16,A,0,1,1,0,1,2,0,2,2,1,1,1,1,0.19342078849943514,0.16516485264925135,0.17929282057434326,0.014127967925091897,A
D5,17,B,1,2,0,2,0,0,1,3,1,0,2,2,0,0.3573945506346,-0.3382914513125671,0.009551549661016456,0.34784300097358356,B
D5,18,A,0,0,2,1,3,5,2,2,1,2,2,4,0,0.27187530818692934,0.013849004206901425,0.1428621561969154,0.12901315199001395,A
D5,19,B,1,4,0,4,0,0,3,4,0,1,4,11,2,0.5502223183192468,-0.4451552720480661,0.05253352313559037,0.4976887951836565,B
D5,20,B,0,0,0,2,1,8,1,1,2,0,0,9,3,0.38904944018151977,-0.13576024636434414,0.12664459690858781,0.26240484327293195,B
D5,21,A,0,0,0,0,6,8,2,1,2,3,1,3,1,0.5472556935385223,0.3752605680739344,0.46125813080622835,0.08599756273229398,A
D5,22,B,1,4,1,2,0,2,1,1,0,2,1,8,0,0.1258135548597107,-0.012391098326110059,0.05671122826680033,0.06910232659291038,B
D5,23,B,0,0,2,3,1,5,2,1,1,2,2,3,0,0.2672988899228538,-0.2672988899228538,0.0,0.2672988899228538,B
D5,24,B,1,3,0,2,3,7,3,2,0,0,2,9,1,0.39382521501202805,-0.3233460672853453,0.03523957386334137,0.3585856411486867,B
D5,25,B,0,0,2,5,1,3,0,0,2,0,5,3,3,0.8562744363323429,-0.5396754634213279,0.1582994864555075,0.6979749498768354,B
D5,26,B,1,0,1,3,0,5,3,4,0,4,0,3,1,0.27901963809886365,-0.02596698792051537,0.12652632508917414,0.15249331300968952,B
D5,27,B,1,0,2,4,1,10,1,0,2,2,1,6,3,0.37768874047071954,-0.16662275853004274,0.1055329909703384,0.27215574950038113,B
D5,28,B,1,2,1,5,0,12,1,2,1,1,3,3,3,0.7036277581248326,-0.49256177618415575,0.10553299097033841,0.5980947671544942,B
D5,29,B,0,2,2,5,0,0,3,4,1,3,1,8,3,0.3262990661193226,-0.24988666883119112,0.03820619864406573,0.28809286747525686,B
D5,30,B,1,0,2,3,1,4,2,3,1,2,3,12,1,0.2782272607176424,-0.20181486342951094,0.03820619864406574,0.24002106207357668,B
D5,31,A,0,2,2,3,0,8,1,2,2,3,1,10,3,0.13142037173909604,0.09874870952361361,0.11508454063135483,0.016335831107741214,A
D5,32,B,0,3,0,5,1,0,2,4,2,1,0,9,3,0.6275417935187646,-0.40337319338379585,0.11208430006748438,0.5154574934512802,B
D5,33,B,0,4,1,3,0,0,3,3,2,0,1,10,2,0.5057912432600986,-0.3915713604607669,0.05710994139966585,0.44868130186043276,B
D5,34,B,1,1,2,3,1,11,3,4,2,0,1,8,2,0.4747293745279672,-0.4747293745279672,0.0,0.4747293745279672,B
D5,35,B,1,0,2,5,1,12,1,3,1,1,0,0,2,0.6605735041994566,-0.5223688510136358,0.06910232659291038,0.5914711776065462,B
D5,36,A,1,3,1,1,4,12,1,3,1,5,1,12,0,0.6078792891650894,0.502346298194751,0.5551127936799202,0.05276649548516921,A
D5,37,A,1,0,0,0,0,3,1,4,1,2,0,7,2,0.362331017363885,0.28751347260721566,0.32492224498555033,0.037408772378334676,A
D5,38,B,0,1,1,3,0,11,0,0,1,2,2,11,1,0.22131667588440937,-0.09707929872490365,0.06211868857975286,0.1591979873046565,B
D5,39,A,0,4,1,0,5,3,2,2,2,0,2,4,1,0.12525414982806837,0.01972115885773,0.0724876543428992,0.052766495485169186,A
